Source ID,Item #,Initiative,Discipline,Category,Deliverable,Action,Assigned To,Reviewer,Status,Notes,Priority,Due Date,Source Due,Priority Weight,Progress %,Status Bucket,Last Updated,Week Ending,Due Quarter,Budget Hours,WBS,IO,Work Group,Planned Week
ei-initiative-092,78,Moved - Procurement Standard,Instrumentation and Controls,Procurement,OGC Estimate Checklist,I&C Procurement DOR,Rasheed Oduro,,Closed Out,Confrim this is complete and notate where its now located on SharePoint for use…or did it get owned by procurement?,High,,,3,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-093,79,Energy Standardization,Electrical,Lightning Protection,Procurement - QCS,"Standardize 4.20.355 Lightning Protection QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Rasheed Oduro,,Pause,"6/17 - Spoke with Kevin through Teams. Installation details and procedures are in the toolbox
6/22 - Looking over 000000-EL-DTL-300x_Lightning Protection System (LPS) - Installation Typical Details Drawings",Low,,Q3,1,0,Blocked,,,Q3,,110803,1511,Electrical,
ei-initiative-094,80,Indicative Tool,E&I Department,Department,Indicative Tool,Generation of information for Indicative report from MEL and Instrument Index,Rasheed Oduro,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Electrical,
ei-initiative-095,81,Shiploose Pricing Index,Instrumentation and Controls,Department,"Historical / Benchmark Improvement
IO 101023945",Build historical data base for shiploose equipment to aid in optimized estimate,Rasheed Oduro,,Closed Out,KNS full support,Low,,Q3,1,100,Closed,,,Q3,,110803,101023945,Instrumentation,
ei-initiative-096,82,Initiatives Folder,Instrumentation and Controls,Department,"Historical / Benchmark Improvement
IO 101023945",Build historical data base for instrumentation to aid in optimized estimate,Rasheed Oduro,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,101023945,Instrumentation,
ei-initiative-097,83,Consistency Workshop,Instrumentation and Controls,Department,Standard Template,"Project's One Note Template: Develop a one note template for all I&C Class  2 Estimates. This in order to organize quantities, punch items, optimizations, etc all in one place.",Raul Ledezma,,Closed Out,OneNote is complete and available in SharePoint.,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-098,84,Consistency Workshop,Instrumentation and Controls,Department,Standard Template,"New DOR for MTO development, this is between Engineering and Estimating. With the purpose to explain and clarify what are the MTOs and their quality, to be transferred to Estimating phase.",Raul Ledezma,,Closed Out,DOR is completed and located in SharePoint,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-099,85,Initiatives - Future,Instrumentation and Controls,Department,Word Document,"I&C MTO design and development best practices: Estimating development and writeup of best practices applied during class 2 estimates, to lower quantities and cost of the project.",Raul Ledezma,,Closed Out,"Working on the document. Expected ETA by May 1st.
Meeting with ABB, Schneider, Emerson and Honeywell to ensure vendors can all reduce quantities at the RIO",High,,Q3,3,100,Closed,,,Q3,,110803,1511,Instrumentation,
ei-initiative-100,86,Initiatives - Future,Instrumentation and Controls,Department,Presentation,Prepare a new onboard presentation to provide an overview I&C takeoffs for personnel.,Raul Ledezma,,Not Started,Existing presentaiton to be used as an starting point. To be started after best practices initiative is complete.,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-101,87,Indicative Tool,Instrumentation and Controls,Estimating,Indicative Tool,I&C Indicative Tool,Rene Contreras,,Closed Out,"Item broken out in separate activities covered in items 17, 57, 67.",Critical,,,4,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-102,88,Indicative Tool,Instrumentation and Controls,Estimating,Indicative Tool,I&C Indicative Procedure,Rene Contreras,Rasheed Oduro,In Review,Indicative procedure is about 80% done for I&C.,Low,,Q3,1,90,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-103,89,BB Toolset Symbols,Instrumentation and Controls,Estimating,ADAPT - Bluebeam Tools,"Validation of BB metadata for all instrument symbols to align with latest updates in I&C instruments' assemblies.
All instrument symbols recreated.",Rene Contreras,Rene Contreras,In Review,,Low,,Q3,1,90,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-104,90,BB Toolset Symbols,Instrumentation and Controls,Estimating,ADAPT - Bluebeam Tools,Validation of BB metadata for all TELECOM symbols to align with latest updates in Network/Telecom/Security assemblies.,Rene Contreras,,75% Complete,,Low,,Q3,1,75,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-105,91,BB Toolset Symbols,Instrumentation and Controls,Estimating,ADAPT - Bluebeam Tools,Creation of Telecom Symbols in CAD,Rene Contreras,,Complete,,Low,,Q3,1,100,Closed,,,Q3,,110803,1511,Instrumentation,
ei-initiative-106,92,CAD Toolset Symbols,Instrumentation and Controls,Estimating,AutoCAD,Validation of CAD metadata for all TELECOM symbols to align with latest updates in Network/Telecom/Security assemblies.,Rene Contreras,Rene Contreras,In Review,,Low,,Q3,1,90,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-107,93,Master Sheets - P.Query,E&I Department,Estimating,"Software Improvement
IO 101029801","Working with Aden to transfer calculation, formatting macros and output reports from the E&I Excel Master Sheets to Power Query",Rene Contreras,,75% Complete,"[6/16] Prepared data set from TX Lng estimate to test tool. Aden is running his test. waiting on results. 
[5/6] had multiple meetings with Syed/Aden to align take-offs data fields and defining INPUT data.
[4/28] Syed to update Excel logic sheet sent by Aden to identify data sources for W&B and HD reports.  Meeting to be scheduled to follow up on 4/30",Critical,2026-05-15,,4,75,Open,,,Q2,,110803,101029801,Electrical,
ei-initiative-108,94,Moved - KOE Standard,E&I Department,Benchmark / Labor,Work Flow,Electrical Department - Employee ultization Tool for Leads and Department Management to better manage tasks and balance in the department - Visual tool easy to update and use.,Tyler Reck,Allen Douglas,In Review,,Medium,2026-06-17,,2,90,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-109,95,Initiatives Folder,E&I Department,Estimating,Procedure (OGC),E&I Initiative Game Plan for Takeoff Assignment & Schedule,Ahmad Yakuba,Allen Douglas,In Review,"E&I game plan folder is created , this document gives guidelines for preparing an estimate.",Low,2026-05-20,,1,90,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-110,96,Installation Details,Instrumentation and Controls,Department,Procurement - QCS,Working with Swagelok reviewing 1E/KOE assemblies/Installation details to find opportunities for improvement and to obtain Swagelok Part Numbers that can help us obtain Periodically prices updates to simplify Estimate Bulk pricing,Rene Contreras,,75% Complete,"Assemblies/Installations details sent, waiting on Swagelok updates.",Low,,Q3,1,75,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-111,97,BB Toolset Symbols,Instrumentation and Controls,Engineering,Standard Template,Working with KOE/KIE to define Standard Symbols to be used for Telecommunication Equipment Location Layouts,Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-112,98,TBD - Folder Not Created,E&I Department,Procurement,Procurement - QCS,Predictive Pricing (KSN archived purchases + AI ),ADAPT,,HOLD,"after ADAPT 2.0 completion, coordinate predictive pricing to be generated on QCS Sheets as a comparable to vendor prices.",Low,,,1,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-113,99,BB Toolset Symbols,Instrumentation and Controls,Engineering,Standard Template,Working with KOE/Process Safety to define Standard Symbols to be used for Fire & Gas Device Location Layouts,Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-114,100,BB Toolset Symbols,Instrumentation and Controls,Engineering,Standard Template,Working with KOE/Instrumentation to define Standard Index Template with common functions that support engineering deliverable needs and Estimating needs,Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-115,101,Consistency Workshop,Instrumentation and Controls,Department,"Training Improvement
IO 101023951",Update Instrument Index Manual to align with changes in logic implemented in Adapt,Rene Contreras,,HOLD,,Low,,,1,0,Blocked,,,No Date,,110803,101023951,Instrumentation,
ei-initiative-116,102,Consistency Workshop,Instrumentation and Controls,Department,"Training Improvement
IO 101023951",Update Network Take-off  Manual to align with changes in logic implemented in Adapt,Rene Contreras,,HOLD,,Low,,,1,0,Blocked,,,No Date,,110803,101023951,Instrumentation,
ei-initiative-117,103,Consistency Workshop,Instrumentation and Controls,Department,"Training Improvement
IO 101023951",Update Security Take-off  Manual to align with changes in logic implemented in Adapt,Rene Contreras,,HOLD,,Low,,,1,0,Blocked,,,No Date,,110803,101023951,Instrumentation,
ei-initiative-118,104,Consistency Workshop,Instrumentation and Controls,Department,"Training Improvement
IO 101023951",Update Telecom Take-off  Manual to align with changes in logic implemented in Adapt,Rene Contreras,,HOLD,,Low,,,1,0,Blocked,,,No Date,,110803,101023951,Instrumentation,
ei-initiative-119,105,I&C Adapt Logic,Instrumentation and Controls,Department,ADAPT - Assemblies / KIDs,"Review of I&C Assemblies, alignment with KOE Installation details, development of assemblies sketches, update of account codes, material quantities, material ratios, Adapt calculations, etc.",Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-120,106,I&C Adapt Logic,Instrumentation and Controls,Department,ADAPT - Logic,"Update of Adapt logic to integrate new assemblies, new functions, and material optimizations alignning with New Index Template.",Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-121,107,I&C Adapt Logic,Instrumentation and Controls,Department,ADAPT - Logic,"Update of instruments profiles to cover updates in assemblies, logic and new index.",Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-122,108,BB Toolset Symbols,Instrumentation and Controls,Department,ADAPT - Bluebeam Tools,Update of Instrument Symbols in BB tool to align with New Index and assemblies updates,Rene Contreras,,Closed Out,,Low,,,1,100,Closed,,,No Date,,110803,1511,Instrumentation,
ei-initiative-123,109,Moved - Department SharePoint,Instrumentation and Controls,Department,Project SharePoint,Reorganization of I&C initiatives documents into new SharePoint folders,Rene Contreras,,Complete,,Medium,,Q3,2,100,Closed,,,Q3,,110803,1511,Instrumentation,
ei-initiative-124,110,Energy Standardization,Instrumentation and Controls,Department,ADAPT - Assemblies / KIDs,"Review, align, update Adapt Material Catalog accordingly with the changes incorporated in Assemblies",Rene Contreras,,25% Complete,"Witing on Adapt team to generate latest conformed material list.
Meeting with ADAPT team done 05/06/26.",Critical,,Q3,4,25,Open,,,Q3,,110803,1511,Instrumentation,
ei-initiative-125,111,Master Sheets - P.Query,E&I Department,Estimating,"Software Improvement
IO 101029801",Testing of Power Query tool to generate HD upload report / W&B sheet,Rene Contreras,,Not Started,to start after Power Query tool is completed.,Critical,,,4,0,Open,,,No Date,,110803,101029801,Electrical,
ei-initiative-126,112,Vendor Presentations,E&I Department,Estimating,Presentation,Vendor Visit Presenation - TMEIC,Ahmad Yakuba,Allen Douglas,In Review,"Preliminary Review is done, incorporated all comments and present a final version review posponed till Ali is back from Timeoff",Low,2026-06-04,,1,90,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-127,113,Cable Automation,E&I Department,Wire and Cable,Cable List,Automated Cable List,Tyler Reck,,Started,"Create wire diagrams for all MEL, vendor, electrical systems in OGC work - 
automate the list so only cable length has to be be updated in the schedule - 
this will standardize all wiring across all OGC 
work and should be able to be given to the ADAPT Team for intergration into the ADAPT program",Low,,Q3,1,25,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-128,114,Energy Standardization,E&I Department,Department,OGC Estimate Checklist,Update the estimate schedule by adding estimate procedures to properly account for the hours required for E&I,Ahmad Yakuba,Allen Douglas,Started,We are developing this schedule using homer city as it progress.electrical and Instrumentation will coodinate for full implementation,Medium,2026-07-06,,2,25,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-129,115,Consistency Workshop,Electrical,Grounding,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Ali Malik,Allen Douglas,50% Complete,"Email ""Electrical Take-Off - Grounding"" sent 4/22 to department
Next Meeting 5/7/2026",High,,Q2,3,50,Open,,,Q2,,110803,101023951,Electrical,
ei-initiative-130,116,Quantity Summary Sheet,E&I Department,Cable - General,Cable List,"Update E&I Quantity summary sheet to newest version, implementing changes discussed with management",Tyler Reck,Raul Ledezma,In Review,,Medium,2026-06-18,,1,90,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-131,117,Energy Standardization,Instrumentation and Controls,Raceway,Procedure (Energy),Preparation of CAD drawings for I&C cable and tubing supports to be submitted in KEGI toolbox,Rojna Ghamsari,Rene Contreras,In Review,,Low,,,0,90,,,,No Date,,110803,1511,Instrumentation,
ei-initiative-132,118,Consistency Workshop,E&I Department,Wire and Cable,Cable List,Update Cable List to Support Homer City Gas Yard,Tyler Reck,Ali Malik,25% Complete,"07/06/2026 -  Started Process to better automate our cable list. Inclusion of cable length, segregation status, voltage.",High,,Q3,3,25,Open,,,Q3,,110803,1511,Electrical,
